,lr,epochs,dim,bootstrap,acc,test_acc,time
0,0.2,20,5000,0.25,0.9995190501213074,0.939704954624176,2.185490846633911
1,0.2,20,5000,0.5,0.9950304627418518,0.9345734715461731,1.947206974029541
2,0.2,20,7500,0.25,0.9987175464630127,0.940346360206604,2.836395025253296
3,0.2,20,7500,0.5,0.9955113530158997,0.9371392130851746,2.7402150630950928
4,0.2,20,10000,0.25,0.9991984367370605,0.940346360206604,3.477055072784424
5,0.2,20,10000,0.5,0.994709849357605,0.9377806186676025,3.40639591217041
6,0.2,40,5000,0.25,1.0,0.9364977478981018,3.003377914428711
7,0.2,40,5000,0.5,0.9996793866157532,0.9377806186676025,2.8783340454101562
8,0.2,40,7500,0.25,1.0,0.9384220838546753,4.192272901535034
9,0.2,40,7500,0.5,0.9996793866157532,0.9377806186676025,4.169245958328247
10,0.2,40,10000,0.25,1.0,0.9409878253936768,5.1098549365997314
11,0.2,40,10000,0.5,0.9991984367370605,0.940346360206604,4.905630826950073
12,0.2,60,5000,0.25,1.0,0.9345734715461731,3.892124891281128
13,0.2,60,5000,0.5,0.9998396635055542,0.9390634894371033,3.79070782661438
14,0.2,60,7500,0.25,1.0,0.9358563423156738,5.197123050689697
15,0.2,60,7500,0.5,1.0,0.9416292309761047,5.179832696914673
16,0.2,60,10000,0.25,1.0,0.9416292309761047,6.377817869186401
17,0.2,60,10000,0.5,1.0,0.939704954624176,6.351707935333252
18,0.3,20,5000,0.25,0.9985572099685669,0.9409878253936768,2.111217975616455
19,0.3,20,5000,0.5,0.9955113530158997,0.9416292309761047,1.9693691730499268
20,0.3,20,7500,0.25,0.9985572099685669,0.9416292309761047,2.811081886291504
21,0.3,20,7500,0.5,0.9951907396316528,0.9377806186676025,2.7105798721313477
22,0.3,20,10000,0.25,0.9996793866157532,0.9390634894371033,3.470566987991333
23,0.3,20,10000,0.5,0.9951907396316528,0.9358563423156738,3.4064078330993652
24,0.3,40,5000,0.25,1.0,0.9364977478981018,3.000370979309082
25,0.3,40,5000,0.5,0.9996793866157532,0.9384220838546753,2.8954529762268066
26,0.3,40,7500,0.25,1.0,0.9339320063591003,3.9380691051483154
27,0.3,40,7500,0.5,0.9998396635055542,0.9384220838546753,3.8917319774627686
28,0.3,40,10000,0.25,1.0,0.9352148771286011,4.913478136062622
29,0.3,40,10000,0.5,0.9993587732315063,0.940346360206604,4.895431041717529
30,0.3,60,5000,0.25,1.0,0.9332905411720276,3.884829044342041
31,0.3,60,5000,0.5,0.9996793866157532,0.9345734715461731,3.771643877029419
32,0.3,60,7500,0.25,1.0,0.939704954624176,5.123309135437012
33,0.3,60,7500,0.5,1.0,0.9384220838546753,5.117019891738892
34,0.3,60,10000,0.25,1.0,0.9384220838546753,6.366070032119751
35,0.3,60,10000,0.5,1.0,0.9409878253936768,6.3368048667907715
36,0.4,20,5000,0.25,0.9995190501213074,0.9371392130851746,2.0986711978912354
37,0.4,20,5000,0.5,0.9951907396316528,0.9377806186676025,1.974125862121582
38,0.4,20,7500,0.25,0.9988778233528137,0.9364977478981018,2.794626235961914
39,0.4,20,7500,0.5,0.994709849357605,0.9358563423156738,2.716850757598877
40,0.4,20,10000,0.25,0.9991984367370605,0.9326491355895996,3.49530291557312
41,0.4,20,10000,0.5,0.994870126247406,0.9377806186676025,3.4013030529022217
42,0.4,40,5000,0.25,1.0,0.9364977478981018,3.0065500736236572
43,0.4,40,5000,0.5,0.9993587732315063,0.940346360206604,2.87917423248291
44,0.4,40,7500,0.25,1.0,0.9339320063591003,3.967496871948242
45,0.4,40,7500,0.5,0.9995190501213074,0.9345734715461731,3.8831729888916016
46,0.4,40,10000,0.25,1.0,0.9371392130851746,4.922951936721802
47,0.4,40,10000,0.5,0.9996793866157532,0.9390634894371033,4.898400783538818
48,0.4,60,5000,0.25,1.0,0.9409878253936768,3.897188901901245
49,0.4,60,5000,0.5,1.0,0.9429121017456055,3.770136833190918
50,0.4,60,7500,0.25,1.0,0.9416292309761047,5.105456113815308
51,0.4,60,7500,0.5,0.9998396635055542,0.939704954624176,5.083406686782837
52,0.4,60,10000,0.25,1.0,0.9377806186676025,6.3480000495910645
53,0.4,60,10000,0.5,1.0,0.9377806186676025,6.326472997665405
54,0.5,20,5000,0.25,0.9985572099685669,0.9364977478981018,2.112313985824585
55,0.5,20,5000,0.5,0.9950304627418518,0.9358563423156738,1.9657180309295654
56,0.5,20,7500,0.25,0.9995190501213074,0.9364977478981018,2.799891948699951
57,0.5,20,7500,0.5,0.9956716895103455,0.9390634894371033,2.719417095184326
58,0.5,20,10000,0.25,0.9990381598472595,0.9435535669326782,3.4835891723632812
59,0.5,20,10000,0.5,0.9953510761260986,0.9441949725151062,3.3973166942596436
60,0.5,40,5000,0.25,1.0,0.9384220838546753,3.007614850997925
61,0.5,40,5000,0.5,0.9990381598472595,0.9429121017456055,2.872166156768799
62,0.5,40,7500,0.25,1.0,0.9371392130851746,3.960843086242676
63,0.5,40,7500,0.5,0.9991984367370605,0.9384220838546753,3.9008030891418457
64,0.5,40,10000,0.25,1.0,0.9371392130851746,4.933403253555298
65,0.5,40,10000,0.5,0.9988778233528137,0.9416292309761047,4.89877986907959
66,0.5,60,5000,0.25,1.0,0.9416292309761047,3.884214162826538
67,0.5,60,5000,0.5,1.0,0.9377806186676025,3.7754971981048584
68,0.5,60,7500,0.25,1.0,0.9358563423156738,5.145226955413818
69,0.5,60,7500,0.5,1.0,0.9390634894371033,5.067646026611328
70,0.5,60,10000,0.25,1.0,0.939704954624176,6.3659279346466064
71,0.5,60,10000,0.5,0.9998396635055542,0.9364977478981018,6.330281972885132
